Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
16:37:39,16.59,28.9,29.18,-35.19,-19.45,34.33,35.48,35.19
16:37:39,-14.88,-2.86,24.6,-35.48,-24.03,5.15,6.01,10.01
16:37:39,-18.31,-7.72,18.6,-36.34,-29.47,-9.44,-8.87,-12.87
16:37:39,-18.31,-7.72,14.59,-35.19,-31.47,-9.44,-8.87,-12.87
16:37:39,-18.31,-7.72,14.31,-32.9,-30.33,-9.44,-8.87,-12.87
16:37:39,-18.31,-7.72,18.31,-29.47,-25.75,-9.44,-8.87,-12.87
16:37:39,-18.31,-7.72,24.89,-25.46,-19.45,-9.44,-8.87,-12.87
16:37:39,-18.31,-7.72,32.04,-21.46,-13.45,-9.44,-8.87,-12.87
16:37:39,-15.16,-4.58,38.05,-18.6,-8.58,-9.44,-8.87,-12.87
16:37:39,21.74,28.32,42.63,-16.88,-4.86,12.02,12.59,0
16:37:39,34.33,40.05,46.92,-16.02,-2,39.2,38.05,30.61
16:37:39,34.33,40.34,51.5,-16.31,0,39.48,38.62,32.33
16:37:39,34.33,40.34,52.93,-16.59,0,39.48,38.62,32.33
16:37:39,34.33,40.34,50.64,-18.02,-3.15,39.48,38.62,32.33
16:37:39,34.33,40.34,47.49,-19.45,-6.87,39.48,38.62,32.33
16:37:39,34.33,40.34,40.91,-21.17,-12.02,39.48,38.62,32.33
16:37:39,34.05,40.05,34.33,-22.03,-16.31,39.48,38.62,32.33
16:37:39,9.16,11.73,28.32,-22.32,-18.31,31.47,30.33,28.61
16:37:39,-17.74,-21.17,22.32,-23.17,-20.6,-6.29,-4.86,-2.57
16:37:39,-17.74,-22.32,14.31,-25.18,-25.18,-12.3,-10.01,-11.44
16:37:39,-17.74,-22.32,8.3,-27.18,-28.04,-12.3,-10.01,-11.44
16:37:39,-17.74,-22.32,5.44,-28.32,-27.75,-12.3,-10.01,-11.44
16:37:39,-17.74,-22.32,6.29,-28.9,-25.46,-12.3,-10.01,-11.44
16:37:39,-17.74,-22.32,8.58,-29.75,-23.17,-12.3,-10.01,-11.44
